Model,Article_ID,Left_Score,Center_Score,Right_Score
GPT-2,1,0.993400991,0.00036767,0.006231276
GPT-2,2,0.001404911,0.637448311,0.361146778
GPT-2,3,0.000371647,0.999416471,0.000211942
GPT-2,4,0.000727119,0.99038142,0.008891401
GPT-2,5,0.007292369,0.029214693,0.96349293
GPT-2,6,0.001235476,0.041482743,0.957281828
GPT-2,7,0.998831689,0.000244223,0.000924117
GPT-2,8,0.000592214,0.001601382,0.99780637
GPT-2,9,0.000398764,0.999324799,0.000276446
GPT-2,10,0.000725145,0.028266583,0.971008241
GPT-2,11,0.880887806,0.117666729,0.001445489
GPT-2,12,0.000918486,0.016281942,0.98279953
GPT-2,13,0.0005443,0.999344766,0.000110864
GPT-2,14,0.000454334,0.002132279,0.997413456
GPT-2,15,0.002416911,0.237597242,0.759985864
GPT-2,16,0.001099757,0.001178488,0.997721851
GPT-2,17,0.000297997,0.999282062,0.000419949
GPT-2,18,0.000654253,0.000944168,0.998401582
GPT-2,19,0.004055611,0.86835885,0.127585515
GPT-2,20,0.741974175,0.238276854,0.019748999
GPT-2,21,0.000492889,0.999389529,0.000117565
GPT-2,22,0.000425589,0.999215007,0.000359338
GPT-2,23,0.000980406,0.000844947,0.998174667
GPT-2,24,0.001477559,0.736826062,0.261696339
GPT-2,25,0.000683412,0.003607449,0.995709062
GPT-2,26,0.002034133,0.068018429,0.929947376
GPT-2,27,0.00065344,0.00300469,0.996341765
GPT-2,28,0.001244788,0.000579821,0.998175383
GPT-2,29,0.003259476,0.003166698,0.993573844
GPT-2,30,0.310605168,0.012452113,0.676942766
GPT-2,31,0.000936743,0.000255517,0.998807788
GPT-2,32,0.000492881,0.997189939,0.002317171
GPT-2,33,0.001213772,0.002384555,0.996401668
GPT-2,34,0.000483502,0.004172811,0.995343626
GPT-2,35,0.000469288,0.001134769,0.998395979
GPT-2,36,0.000299609,0.999297976,0.000402437
GPT-2,37,0.008331187,0.361154109,0.630514741
GPT-2,38,0.000705631,0.000536151,0.998758197
GPT-2,39,0.000581009,0.00567625,0.993742645
GPT-2,40,0.152498484,0.006323261,0.841178358
GPT-2,41,0.00055749,0.996497333,0.002945174
GPT-2,42,0.000508367,0.001734205,0.997757494
GPT-2,43,0.000534759,0.999343097,0.000122175
GPT-2,44,0.000551221,0.003861574,0.99558723
GPT-2,45,0.000382642,0.000453169,0.999164104
GPT-2,46,0.010243047,0.879419148,0.110337824
GPT-2,47,0.000572389,0.000677279,0.99875021
GPT-2,48,0.004263506,0.994014084,0.001722426
GPT-2,49,0.000576931,0.001165961,0.998257101
GPT-2,50,0.000524743,0.999365509,0.000109752
GPT-2,51,0.000905793,0.998958588,0.000135636
GPT-2,52,0.000372295,0.998918653,0.000709122
GPT-2,53,0.026187498,0.971176624,0.002635925
GPT-2,54,0.000317253,0.999407172,0.000275555
GPT-2,55,0.000523516,0.999362528,0.000113947
GPT-2,56,0.000357537,0.99896121,0.000681273
GPT-2,57,0.000500281,0.000402358,0.999097466
GPT-2,58,0.00089504,0.991481185,0.007623759
GPT-2,59,0.001623412,0.031040173,0.967336416
GPT-2,60,0.995576739,0.003450507,0.000972667
GPT-2,61,0.000371775,0.998806715,0.000821462
GPT-2,62,0.000436909,0.998346329,0.001216749
GPT-2,63,0.00088773,0.984911084,0.014201138
GPT-2,64,0.000380699,0.995941937,0.003677308
GPT-2,65,0.001151015,0.939850152,0.058998827
GPT-2,66,0.000435622,0.001134316,0.998430073
GPT-2,67,0.000457896,0.997253478,0.002288668
GPT-2,68,0.995321929,0.003626288,0.001051839
GPT-2,69,0.001641607,0.800711691,0.197646677
GPT-2,70,0.007248211,0.00097563,0.991776109
GPT-2,71,0.001354927,0.965758801,0.032886308
GPT-2,72,0.001303058,0.021619467,0.977077484
GPT-2,73,0.000741199,0.985462189,0.013796592
GPT-2,74,0.000579687,0.001145141,0.998275161
GPT-2,75,0.00068876,0.999062598,0.000248639
GPT-2,76,0.001891681,0.710793436,0.287314892
GPT-2,77,0.00069072,0.004797355,0.994511962
GPT-2,78,0.00035065,0.998650372,0.000999042
GPT-2,79,0.000419157,0.999456942,0.000123911
GPT-2,80,0.001192032,0.866988659,0.131819308
GPT-2,81,0.001143336,0.982968986,0.015887644
GPT-2,82,0.000546342,0.000482545,0.998971105
GPT-2,83,0.000538054,0.999343574,0.000118366
GPT-2,84,0.000848539,0.000381352,0.998770058
GPT-2,85,0.998370707,0.000511535,0.001117834
GPT-2,86,0.000334206,0.999311805,0.000354013
