Generation,Article_ID,Left_Score,Center_Score,Right_Score
1,1,0.999543726,0.00018017,0.000276033
1,2,0.00079358,0.999101162,0.000105248
1,3,0.001307883,0.979797542,0.018894577
1,4,0.001979698,0.991834402,0.006185905
1,5,0.000624351,0.000442696,0.998932898
1,6,0.000939108,0.000876395,0.998184502
1,7,0.999201119,0.000192297,0.000606609
1,8,0.999419808,0.000165953,0.000414208
1,9,0.000773368,0.97211504,0.027111551
1,10,0.000583577,0.00025493,0.999161482
1,11,0.999402523,0.000239913,0.000357575
1,12,0.000359927,0.999477804,0.000162333
1,13,0.980701268,0.015888959,0.003409804
1,14,0.999542713,0.000248336,0.000209008
1,15,0.001845785,0.998025775,0.000128439
1,16,0.999444425,0.00016136,0.0003943
1,17,0.000299687,0.999483109,0.000217137
1,18,0.999512315,0.000202084,0.000285653
1,19,0.827949107,0.021639371,0.150411516
1,20,0.196265727,0.000548148,0.803186059
1,21,0.000755813,0.999141335,0.000102886
1,22,0.000977455,0.070246585,0.928775966
1,23,0.000451376,0.000486115,0.999062479
1,24,0.001311628,0.954708815,0.043979622
1,25,0.000481385,0.000358987,0.999159575
1,26,0.438082516,0.157712236,0.404205263
1,27,0.000646844,0.000216757,0.999136388
1,28,0.083767243,0.000618001,0.915614784
1,29,0.502578259,0.018602919,0.478818804
1,30,0.997268856,0.000240798,0.002490358
1,31,0.999401927,0.000324578,0.00027354
1,32,0.005853056,0.993770421,0.000376499
1,33,0.004034676,0.000277149,0.99568814
1,34,0.000423533,0.000310743,0.99926573
1,35,0.000376622,0.00056066,0.999062717
1,36,0.99929738,0.000530221,0.000172433
1,37,0.000528277,0.00102648,0.998445332
1,38,0.001979053,0.000209198,0.997811735
1,39,0.037276242,0.000485229,0.96223855
1,40,0.000365281,0.000459897,0.999174774
1,41,0.012248324,0.011568933,0.976182759
1,42,0.999238014,0.000558769,0.00020318
1,43,0.000491638,0.999385595,0.000122705
1,44,0.000347404,0.000908004,0.998744607
1,45,0.000795399,0.000316897,0.998887718
1,46,0.999500394,0.000214395,0.000285195
1,47,0.002688163,0.000365307,0.996946514
1,48,0.99877125,0.000689141,0.000539597
1,49,0.000733044,0.000292071,0.9989748
1,50,0.00056581,0.999323368,0.000110876
1,51,0.003045626,0.108053721,0.888900638
1,52,0.002511288,0.604349852,0.393138826
1,53,0.001933118,0.997923195,0.000143684
1,54,0.000564748,0.999320745,0.000114553
1,55,0.000499774,0.999385476,0.000114702
1,56,0.839184046,0.001814601,0.15900138
1,57,0.00094776,0.000368541,0.998683631
1,58,0.917668045,0.081758618,0.000573291
1,59,0.001037683,0.000657008,0.998305321
1,60,0.942509592,0.000511652,0.056978744
1,61,0.001320794,0.968580782,0.030098418
1,62,0.00045592,0.970889747,0.028654253
1,63,0.000731965,0.023788456,0.975479543
1,64,0.000422711,0.000723421,0.998853922
1,65,0.000411317,0.000401908,0.999186814
1,66,0.004690659,0.094680838,0.900628448
1,67,0.000464128,0.99938798,0.000147924
1,68,0.000688124,0.004687763,0.994624078
1,69,0.000332578,0.999064863,0.000602525
1,70,0.03048389,0.000607973,0.968908131
1,71,0.002148247,0.964340806,0.033510908
1,72,0.996389031,0.003007676,0.000603246
1,73,0.00026327,0.998598397,0.001138326
1,74,0.319335341,0.000533667,0.680131018
1,75,0.00573018,0.000334749,0.993935049
1,76,0.000465998,0.999361575,0.000172488
1,77,0.000487592,0.000466576,0.999045789
1,78,0.000444793,0.998778641,0.00077655
1,79,0.000581369,0.98624748,0.013171127
1,80,0.000625858,0.000817177,0.998556912
1,81,0.001651166,0.375730395,0.622618437
1,82,0.000803894,0.000392283,0.998803735
1,83,0.002052818,0.027566195,0.970381021
1,84,0.029084152,0.002203878,0.968711853
