Generation,Article_ID,Left_Score,Center_Score,Right_Score
1,1,0.000790474,0.995742142,0.0034673
1,2,0.002637335,0.002885713,0.994476974
1,3,0.000384983,0.999484301,0.000130654
1,4,0.001335944,0.998116612,0.000547503
1,5,0.000603144,0.002007957,0.997388899
1,6,0.000417031,0.002125801,0.997457206
1,7,0.00045043,0.999406099,0.000143477
1,8,0.000293408,0.999525666,0.000180932
1,9,0.055221122,0.174071893,0.770707011
1,10,0.000273001,0.999195516,0.000531451
1,11,0.000394494,0.999435008,0.00017043
1,12,0.000264095,0.999270618,0.000465272
1,13,0.000363791,0.999501586,0.000134605
1,14,0.000541615,0.999344289,0.000114041
1,15,0.00055532,0.004253763,0.995190859
1,16,0.000396628,0.999470055,0.000133393
1,17,0.000452471,0.999406338,0.000141172
1,18,0.000338339,0.999507189,0.000154423
1,19,0.000261547,0.999204218,0.000534202
1,20,0.001332326,0.003450652,0.995217085
1,21,0.004862181,0.002922205,0.992215574
1,22,0.001341767,0.78042078,0.21823746
1,23,0.000905544,0.990627646,0.008466853
1,24,0.000326347,0.999514937,0.000158772
1,25,0.003689244,0.372000098,0.624310672
1,26,0.000899302,0.99893862,0.000162039
1,27,0.109003022,0.88962388,0.001373094
1,28,0.000542541,0.002519516,0.99693799
1,29,0.000511179,0.999340117,0.000148697
1,30,0.000528109,0.99934417,0.000127707
1,31,0.000350241,0.99948585,0.000163906
1,32,0.016084678,0.560673535,0.423241764
1,33,0.000445496,0.999434173,0.000120274
1,34,0.000376649,0.00314661,0.99647671
1,35,0.000573034,0.999206245,0.00022077
1,36,0.000515781,0.99933821,0.000145986
1,37,0.001389471,0.930596888,0.068013608
1,38,0.000494527,0.999031663,0.000473769
1,39,0.000256556,0.999517083,0.000226321
1,40,0.001835525,0.997990727,0.000173779
1,41,0.00058688,0.997247756,0.00216538
1,42,0.000702623,0.999172628,0.000124729
1,43,0.000245782,0.999126375,0.000627809
1,44,0.000440702,0.999434531,0.000124761
1,45,0.001324324,0.985982299,0.012693387
1,46,0.000422179,0.992403924,0.007173825
1,47,0.002371228,0.000708829,0.99691999
1,48,0.000320998,0.999321103,0.000357958
1,49,0.000342911,0.001330047,0.998327076
1,50,0.972613215,0.023099491,0.004287306
1,51,0.000483893,0.998021007,0.001495116
1,52,0.000769723,0.000347334,0.998882949
1,53,0.000383716,0.99928838,0.000327899
1,54,0.000409682,0.991070628,0.008519706
1,55,0.001777072,0.889237046,0.108985893
1,56,0.000768184,0.955811739,0.043420084
1,57,0.000421087,0.998775661,0.0008033
1,58,0.000418186,0.999280989,0.000300837
1,59,0.000730055,0.999168634,0.000101355
1,60,0.000658842,0.998694479,0.000646729
1,61,0.001596878,0.99576509,0.002638077
1,62,0.000516031,0.999362409,0.000121531
