Generation,Article_ID,Left_Score,Center_Score,Right_Score
0,1,0.001150554,0.937287509,0.061561901
0,2,0.002440193,0.001102669,0.99645704
0,3,0.000282219,0.999478161,0.000239663
0,4,0.000582678,0.000570981,0.998846292
0,5,0.003903853,0.23440218,0.761694014
0,6,0.000858003,0.048165247,0.950976789
0,7,0.001094326,0.963272095,0.035633508
0,8,0.00058924,0.949693859,0.049716923
0,9,0.005827297,0.373153687,0.621019006
0,10,0.000340924,0.999283969,0.000375113
0,11,0.000417391,0.99944216,0.000140391
0,12,0.000402349,0.999366105,0.000231616
0,13,0.002412871,0.671469092,0.326118052
0,14,0.000438497,0.999404788,0.000156699
0,15,0.002031281,0.267919511,0.730049312
0,16,0.000363653,0.9994753,0.000161086
0,17,0.000372791,0.999473989,0.000153227
0,18,0.001190061,0.940785944,0.058024075
0,19,0.00032743,0.998936117,0.000736408
0,20,0.001275145,0.083011374,0.915713549
0,21,0.006547012,0.941524446,0.051928498
0,22,0.000393535,0.99817431,0.001432104
0,23,0.000344742,0.999476969,0.000178347
0,24,0.000283208,0.999487996,0.000228742
0,25,0.001925926,0.276713818,0.721360326
0,26,0.00038439,0.999409556,0.000206094
0,27,0.914688468,0.083631232,0.001680278
0,28,0.000467498,0.999237061,0.000295429
0,29,0.000311817,0.999041975,0.000646228
0,30,0.000403007,0.999453604,0.000143329
0,31,0.000442598,0.999432147,0.000125219
0,32,0.000995455,0.998476326,0.000528259
0,33,0.000362382,0.999481976,0.000155695
0,34,0.00073774,0.020527503,0.978734732
0,35,0.000452006,0.999328136,0.000219911
0,36,0.000942827,0.005874371,0.993182838
0,37,0.000464907,0.999405861,0.000129253
0,38,0.000431011,0.999395728,0.000173243
0,39,0.000247678,0.998367727,0.001384579
0,40,0.001466859,0.055833161,0.942699969
0,41,0.000251601,0.999082446,0.000665894
0,42,0.012516557,0.986414611,0.001068774
0,43,0.000407225,0.997674286,0.001918478
0,44,0.00035734,0.999476612,0.000166065
0,45,0.000425589,0.999215007,0.000359338
0,46,0.000470444,0.999371707,0.000157902
0,47,0.00063203,0.000885037,0.998482883
0,48,0.000348298,0.998451233,0.00120042
0,49,0.000449875,0.005407521,0.994142592
0,50,0.583412647,0.301012903,0.115574427
0,51,0.000414654,0.999343574,0.000241705
0,52,0.004373206,0.001368693,0.994258046
0,53,0.000299173,0.998748541,0.000952231
0,54,0.000629189,0.987969875,0.011400905
0,55,0.000415976,0.998865724,0.000718272
0,56,0.002093349,0.805085361,0.19282122
0,57,0.00043748,0.99800247,0.001560061
0,58,0.001466211,0.955736816,0.042797022
0,59,0.001009556,0.97325474,0.025735773
0,60,0.001643653,0.00764133,0.990715027
0,61,0.001576007,0.986825526,0.01159844
0,62,0.000302336,0.999506116,0.000191534
0,63,0.000711689,0.011818181,0.98747009
0,64,0.000372295,0.998918653,0.000709122
0,65,0.000294471,0.999500275,0.000205291
0,66,0.000385135,0.999474823,0.000140034
0,67,0.000278257,0.999497414,0.000224316
0,68,0.000674113,0.98536545,0.013960472
0,69,0.000662501,0.996561706,0.002775833
0,70,0.000321897,0.99946183,0.000216237
0,71,0.001144699,0.998491406,0.000363909
0,72,0.000340878,0.992267549,0.007391631
0,73,0.002682692,0.996631205,0.000686127
0,74,0.987055302,0.011770035,0.001174609
0,75,0.399182081,0.01229123,0.588526726
0,76,0.000347291,0.996581018,0.003071756
0,77,0.000295665,0.999390841,0.000313433
0,78,0.001387198,0.690407395,0.308205396
0,79,0.004971657,0.99483192,0.000196404
0,80,0.000274499,0.99779284,0.001932707
0,81,0.00076502,0.999053061,0.00018186
0,82,0.000507064,0.999348342,0.000144594
0,83,0.00022632,0.999266684,0.000507048
0,84,0.000621644,0.999157429,0.00022096
0,85,0.000787901,0.985487342,0.013724831
0,86,0.000358019,0.999393702,0.000248299
0,87,0.000498967,0.000495302,0.999005735
0,88,0.000314684,0.999460042,0.00022528
0,89,0.000380193,0.997988582,0.001631213
0,90,0.000403686,0.999435008,0.000161286
0,91,0.001010673,0.968989611,0.029999703
0,92,0.000696032,0.001391414,0.997912586
0,93,0.001604902,0.000824918,0.997570097
0,94,0.000997984,0.025642259,0.973359764
0,95,0.000398061,0.999453008,0.000148939
0,96,0.000351221,0.999510288,0.00013845
0,97,0.048569031,0.086636238,0.864794791
0,98,0.000326126,0.999505639,0.000168274
0,99,0.002350919,0.471610427,0.526038647
0,100,0.891232491,0.103575207,0.005192304
0,101,0.000297997,0.999282062,0.000419949
0,102,0.002369294,0.242763072,0.754867673
0,103,0.000318377,0.999404311,0.000277364
0,104,0.000569348,0.999318719,0.000111923
0,105,0.000502694,0.999384522,0.000112716
0,106,0.000463881,0.999251544,0.000284598
