neuron_id,layer,pearson_correlation
1,1,-0.400188757
1,2,0.664848552
1,3,0.457841456
1,4,-0.801652653
1,5,0.426237368
1,6,-0.124566275
1,7,0.096851205
1,8,-0.513149941
1,9,-0.246313451
1,10,0.43687898
1,11,0.489840365
1,12,0.464989626
2,1,-0.725776925
2,2,-0.165114657
2,3,0.432815828
2,4,0.228301211
2,5,0.134439783
2,6,0.488067317
2,7,-0.284868357
2,8,0.544359149
2,9,0.20817388
2,10,-0.079123701
2,11,-0.553419263
2,12,-0.016395152
3,1,-0.469387196
3,2,-0.539664233
3,3,-0.563381768
3,4,-0.137421218
3,5,0.484228967
3,6,-0.350742877
3,7,0.227803372
3,8,-0.295996333
3,9,-0.463738437
3,10,-0.333103624
3,11,-0.687329924
3,12,-0.313503499
4,1,-0.243024582
4,2,-0.716163076
4,3,-0.456477859
4,4,-0.298134925
4,5,0.083761327
4,6,0.557883538
4,7,-0.522599962
4,8,-0.214746263
4,9,0.366725426
4,10,0.278843863
4,11,0.339998986
4,12,-0.24419747
5,1,0.559825548
5,2,0.644238158
5,3,0.543236546
5,4,0.119948799
5,5,-0.016838948
5,6,-0.23825503
5,7,0.457841352
5,8,0.660794027
5,9,-0.550652053
5,10,0.496070343
5,11,-0.101023482
5,12,0.08960755
6,1,-0.321834055
6,2,-0.876565833
6,3,0.695616154
6,4,-0.167947625
6,5,-0.521453291
6,6,0.307386679
6,7,-0.114824225
6,8,-0.176658214
6,9,-0.365045886
6,10,-0.123394719
6,11,-0.360989065
6,12,0.623417126
7,1,0.254559813
7,2,-0.566922822
7,3,-0.480604385
7,4,-0.557765403
7,5,-0.249405708
7,6,-0.442847514
7,7,-0.245047383
7,8,-0.103007704
7,9,0.087319877
7,10,0.472117569
7,11,0.439000474
7,12,0.2015075
8,1,-0.280583869
8,2,-0.795628287
8,3,-0.79553376
8,4,-0.474532886
8,5,-0.551234202
8,6,-0.554970853
8,7,0.173979276
8,8,0.107946632
8,9,-0.099299696
8,10,0.624499581
8,11,-0.251350323
8,12,-0.45448167
9,1,0.533336879
9,2,0.544071573
9,3,0.185143081
9,4,0.52437619
9,5,0.282342212
9,6,0.313248391
9,7,0.15265685
9,8,0.564105175
9,9,0.744725862
9,10,-0.361928541
9,11,0.372054175
9,12,0.241610094
10,1,-0.630948658
10,2,0.193950022
10,3,0.331561642
10,4,0.50248866
10,5,0.223879809
10,6,0.143691238
10,7,0.381781131
10,8,0.029904083
10,9,-0.115805483
10,10,-0.659408674
10,11,-0.480306662
10,12,0.42969948
11,1,-0.406054384
11,2,0.02556096
11,3,-0.114690411
11,4,0.285048765
11,5,-0.753517897
11,6,-0.185108336
11,7,0.278491177
11,8,-0.212805366
11,9,-0.338431501
11,10,-0.445649187
11,11,-0.68064183
11,12,0.082875696
12,1,0.456607379
12,2,0.034724171
12,3,0.250648236
12,4,0.226955669
12,5,0.426028315
12,6,-0.083179656
12,7,0.617341615
12,8,0.188008293
12,9,0.619950579
12,10,0.531075241
12,11,0.692038479
12,12,-0.311250888
13,1,-0.50190817
13,2,-0.673079929
13,3,0.116499054
13,4,0.70038704
13,5,0.525821444
13,6,0.233544656
13,7,-0.019233427
13,8,0.038945441
13,9,0.282569807
13,10,0.174282386
13,11,0.354096251
13,12,0.145756648
14,1,0.587559762
14,2,-0.079492757
14,3,0.067348395
14,4,-0.531790019
14,5,-0.351586111
14,6,0.396056107
14,7,0.422416714
14,8,0.536021235
14,9,0.693621913
14,10,0.278464098
14,11,-0.635562933
14,12,-0.466032037
15,1,-0.561906388
15,2,-0.334190793
15,3,-0.520199804
15,4,-0.439900555
15,5,-0.645260853
15,6,0.375944426
15,7,-0.57048199
15,8,-0.458170652
15,9,-0.374929234
15,10,-0.470387136
15,11,-0.408437624
15,12,-0.172756824
16,1,0.158868219
16,2,-0.716042531
16,3,0.048976062
16,4,-0.555943617
16,5,-0.719739183
16,6,0.114879847
16,7,-0.122828727
16,8,-0.076609954
16,9,0.734465387
16,10,-0.332599297
16,11,-0.695589442
16,12,0.382465319
17,1,-0.495563225
17,2,-0.133448235
17,3,-0.607199203
17,4,-0.391360802
17,5,-0.283372852
17,6,-0.133296625
17,7,-0.380571717
17,8,-0.221593708
17,9,-0.783318254
17,10,0.02957391
17,11,0.479190076
17,12,0.33119555
18,1,-0.609363307
18,2,-0.752502593
18,3,0.568104622
18,4,-0.428320612
18,5,-0.202108123
18,6,-0.706260449
18,7,-0.089912795
18,8,0.03587377
18,9,-0.502172946
18,10,0.478800264
18,11,0.619898467
18,12,-0.289145015
19,1,0.561855431
19,2,0.611527729
19,3,-0.058435592
19,4,0.301660018
19,5,-0.052801032
19,6,0.022563936
19,7,-0.115246678
19,8,0.380919223
19,9,0.233835851
19,10,0.247962483
19,11,-0.338204507
19,12,-0.187216257
20,1,0.093328217
20,2,-0.577924633
20,3,-0.110971616
20,4,0.402453486
20,5,0.368589524
20,6,0.325921737
20,7,-0.342887857
20,8,0.025596891
20,9,-0.052110555
20,10,-0.621490915
20,11,-0.398010159
20,12,-0.375375351
21,1,-0.124314411
21,2,-0.255022209
21,3,0.009746228
21,4,-0.230278355
21,5,-0.182736001
21,6,-0.071681984
21,7,0.297457736
21,8,0.576699894
21,9,0.338096552
21,10,0.565126061
21,11,0.303997327
21,12,-0.421169364
22,1,-0.387729239
22,2,-0.611024143
22,3,-0.416089848
22,4,0.318869021
22,5,-0.429880934
22,6,-0.631812109
22,7,0.045012704
22,8,0.484076153
22,9,-0.459328747
22,10,0.774479176
22,11,-0.132362398
22,12,-0.401773906
23,1,-0.381512394
23,2,-0.472302834
23,3,0.307031248
23,4,0.182965624
23,5,-0.429559192
23,6,0.302297661
23,7,0.10291472
23,8,0.474349618
23,9,0.425799004
23,10,-0.525716401
23,11,-0.124176634
