neuron_id,layer,pearson_correlation
1,1,0.625250675
1,2,-0.166415823
1,3,0.15076788
1,4,0.368578111
1,5,-0.179877602
1,6,0.394207491
1,7,0.480294127
1,8,0.281498346
1,9,0.540030414
1,10,0.199154814
1,11,-0.654258849
1,12,-0.575969823
2,1,0.249509718
2,2,0.226956766
2,3,0.552951472
2,4,0.310283614
2,5,0.144203039
2,6,0.556134003
2,7,0.598757729
2,8,0.394908434
2,9,0.34768235
2,10,0.519245619
2,11,0.401555163
2,12,0.570396401
3,1,-0.605637335
3,2,-0.509929156
3,3,-0.319383722
3,4,-0.079110371
3,5,-0.214831845
3,6,0.419621016
3,7,0.396983829
3,8,0.187764087
3,9,0.036370986
3,10,-0.012934329
3,11,0.495291315
3,12,0.101707712
4,1,0.658943383
4,2,-0.582210863
4,3,0.055007035
4,4,-0.130810566
4,5,0.011715177
4,6,0.490008197
4,7,0.110937516
4,8,0.589988189
4,9,0.109109091
4,10,0.372501028
4,11,0.578031658
4,12,0.787135542
5,1,0.164182504
5,2,0.303587637
5,3,-0.049173671
5,4,0.05993343
5,5,0.058223653
5,6,0.020612702
5,7,0.318646177
5,8,0.594267798
5,9,0.434309704
5,10,-0.276580153
5,11,-0.207088892
5,12,0.767151993
6,1,-0.444596095
6,2,-0.186639669
6,3,-0.384709363
6,4,-0.537321803
6,5,-0.381790766
6,6,-0.058016021
6,7,-0.754114209
6,8,-0.678207117
6,9,-0.300156836
6,10,-0.403877358
6,11,0.001462075
6,12,-0.518763356
7,1,-0.733562471
7,2,-0.358018987
7,3,-0.297594756
7,4,-0.53312236
7,5,0.577183894
7,6,0.180174328
7,7,0.300515736
7,8,0.362452892
7,9,0.332040316
7,10,0.602802873
7,11,0.610641534
7,12,0.648892324
8,1,0.591837172
8,2,0.336523588
8,3,0.730527761
8,4,-0.308889312
8,5,0.462639804
8,6,0.685779906
8,7,0.367800099
8,8,-0.128155238
8,9,0.554040943
8,10,-0.02925923
8,11,0.003992115
8,12,-0.042216868
9,1,-0.60460765
9,2,0.333295421
9,3,0.387367103
9,4,0.551208103
9,5,0.482937259
9,6,0.616803535
9,7,0.640814599
9,8,0.209526965
9,9,0.311947998
9,10,-0.131132489
9,11,0.691495269
9,12,0.450566143
10,1,0.796801281
10,2,0.591320959
10,3,0.563439943
10,4,0.236986767
10,5,-0.527053232
10,6,0.317658382
10,7,0.42931605
10,8,-0.096363969
10,9,0.586295778
10,10,0.546717327
10,11,0.125929439
10,12,-0.08493277
11,1,-0.166214278
11,2,0.083331264
11,3,-0.115017556
11,4,-0.065159296
11,5,-0.406630022
11,6,-0.231416582
11,7,0.316343218
11,8,-0.092315148
11,9,0.012383866
11,10,0.066250115
11,11,-0.027885796
11,12,-0.551474859
12,1,-0.556180075
12,2,-0.599754557
12,3,0.157644656
12,4,0.132621063
12,5,-0.64014228
12,6,-0.229638754
12,7,-0.187651175
12,8,-0.123944541
12,9,-0.378701854
12,10,0.009812123
12,11,-0.230454387
12,12,0.339031656
13,1,-0.138896492
13,2,0.65854356
13,3,0.374390414
13,4,0.37369631
13,5,0.278184658
13,6,0.526813805
13,7,0.501665967
13,8,0.558831717
13,9,0.403123432
13,10,0.309570845
13,11,0.359988556
13,12,0.183523315
14,1,0.275891779
14,2,0.311406097
14,3,0.62513175
14,4,0.414485929
14,5,0.163327924
14,6,-0.173917987
14,7,0.465902693
14,8,0.551814213
14,9,0.596354296
14,10,0.239252929
14,11,0.468008484
14,12,0.288677289
15,1,-0.053120244
15,2,-0.251999179
15,3,-0.371699024
15,4,-0.3592581
15,5,-0.272725639
15,6,-0.363105792
15,7,-0.386613122
15,8,0.102199108
15,9,-0.252937405
15,10,-0.42216196
15,11,-0.418011246
15,12,-0.019788894
16,1,0.555182269
16,2,-0.233990675
16,3,0.702203949
16,4,0.5988864
16,5,0.586661384
16,6,0.397479305
16,7,0.629973213
16,8,0.739619544
16,9,0.139673869
16,10,0.603396666
16,11,0.66657647
16,12,0.51098617
17,1,-0.178760834
17,2,-0.295119524
17,3,-0.403231349
17,4,-0.15571855
17,5,-0.358236501
17,6,-0.394890166
17,7,-0.307518412
17,8,-0.443920858
17,9,-0.299172902
17,10,-0.595607071
17,11,-0.260250892
17,12,-0.676605607
18,1,0.007307443
18,2,-0.229911638
18,3,-0.059728778
18,4,-0.683232291
18,5,-0.331093632
18,6,-0.118495441
18,7,-0.315598431
18,8,-0.360930181
18,9,0.397920081
18,10,0.184090334
18,11,-0.104150245
18,12,-0.222191415
19,1,0.376174614
19,2,-0.072545936
19,3,0.284781922
19,4,0.423890921
19,5,-0.061441852
19,6,0.067787321
19,7,0.142070751
19,8,0.202912459
19,9,0.381678459
19,10,0.017440405
19,11,0.094845294
19,12,0.166208855
20,1,0.147606302
20,2,-0.045728279
20,3,0.103776496
20,4,0.399724367
20,5,-0.35861889
20,6,-0.37366041
20,7,-0.532531099
20,8,-0.658609391
20,9,-0.650428583
20,10,0.300349787
20,11,-0.656470061
20,12,0.02083526
21,1,-0.63441468
21,2,-0.121572134
21,3,-0.524988344
21,4,-0.412527164
21,5,-0.650811245
21,6,0.16568748
21,7,0.17436058
21,8,-0.012090414
21,9,0.400286584
21,10,-0.386970433
21,11,-0.488133339
21,12,-0.54557953
22,1,0.288570958
22,2,-0.397720243
22,3,0.022991306
22,4,-0.333182455
22,5,-0.197732479
22,6,-0.047836494
22,7,0.635508377
22,8,-0.319805351
22,9,-0.258395138
22,10,-0.129177569
22,11,-0.636403369
22,12,-0.089763582
23,1,0.001026199
23,2,-0.179048605
23,3,-0.061318502
23,4,0.25172185
23,5,0.198974857
23,6,-0.009098579
23,7,-0.255198268
23,8,0.224684758
23,9,0.101944523
23,10,0.352873082
23,11,-0.207917995
23,12,-0.03925484
24,1,-0.411262198
24,2,-0.24402827
24,3,0.081830456
24,4,-0.579599079
24,5,-0.040515562
24,6,-0.369262083
24,7,0.059832915
24,8,0.112156316
24,9,-0.384855958
24,10,0.694097469
24,11,0.122054646
24,12,-0.08666695
25,1,-0.038539407
25,2,0.447702457
25,3,0.217322021
25,4,-0.00669693
25,5,0.557654869
25,6,-0.39716574
25,7,0.1001737
25,8,-0.210050097
25,9,-0.493015206
25,10,-0.140571698
25,11,-0.379668077
25,12,-0.31051764
26,1,0.462420202
26,2,-0.107551344
26,3,0.575933811
26,4,0.654398004
26,5,-0.805106572
26,6,0.149065561
26,7,0.551463389
26,8,0.444457219
26,9,0.486370548
26,10,-0.179495917
26,11,-0.244239413
26,12,0.708053905
27,1,-0.014936256
27,2,0.041220576
27,3,0.25394829
27,4,0.353417321
27,5,0.19607589
27,6,0.433226244
27,7,0.441771442
27,8,-0.303205867
27,9,0.472611002
